_time,value,resourceName
12/19/24 16:00,17.03,Temperature
12/19/24 20:00,14.95,Temperature
12/20/24 0:00,16.45,Temperature
12/20/24 4:00,17.03,Temperature
12/20/24 8:00,15.24,Temperature
12/20/24 12:00,16.18,Temperature
12/20/24 16:00,15.89,Temperature
12/20/24 20:00,15.16,Temperature
12/21/24 0:00,14.25,Temperature
12/21/24 4:00,13.97,Temperature
12/21/24 8:00,14.42,Temperature
12/21/24 12:00,16.1,Temperature
12/21/24 16:00,15.92,Temperature
12/21/24 20:00,13.9,Temperature
12/22/24 0:00,13.56,Temperature
12/22/24 4:00,13.54,Temperature
12/22/24 8:00,13.27,Temperature
12/22/24 12:00,16.14,Temperature
12/22/24 16:00,15.98,Temperature
12/22/24 20:00,14.2,Temperature
12/23/24 0:00,12.76,Temperature
12/23/24 4:00,13.37,Temperature
12/23/24 8:00,13.19,Temperature
12/23/24 12:00,15.49,Temperature
12/23/24 16:00,15.08,Temperature
12/23/24 20:00,12.5,Temperature
12/24/24 0:00,11.95,Temperature
12/24/24 4:00,11.66,Temperature
12/24/24 8:00,11.84,Temperature
12/24/24 12:00,16.14,Temperature
12/24/24 16:00,14.76,Temperature
12/24/24 20:00,12.82,Temperature
12/25/24 0:00,12.61,Temperature
12/25/24 4:00,11.45,Temperature
12/25/24 8:00,12.53,Temperature
12/25/24 12:00,14.06,Temperature
12/25/24 16:00,14.26,Temperature
12/25/24 20:00,12.66,Temperature
12/26/24 0:00,12.61,Temperature
12/26/24 4:00,11.71,Temperature
12/26/24 8:00,13.08,Temperature
12/26/24 12:00,14.85,Temperature
12/26/24 16:00,14.95,Temperature
12/26/24 20:00,12.86,Temperature
12/27/24 0:00,12.5,Temperature
12/27/24 4:00,12.59,Temperature
12/27/24 8:00,12.56,Temperature
12/27/24 12:00,15.33,Temperature
12/27/24 16:00,14.89,Temperature
12/27/24 20:00,13.09,Temperature
12/28/24 0:00,13.08,Temperature
12/28/24 4:00,13.24,Temperature
12/28/24 8:00,12.62,Temperature
12/28/24 12:00,16.11,Temperature
12/28/24 16:00,16.79,Temperature
