Timestamp,Indoor_Temp_C,Indoor_Humidity_Percent
11/4/24 20:00,20.1,85
11/5/24 0:00,18.19,90.43
11/5/24 4:00,18.17,90.5
11/5/24 8:00,18.92,89.85
11/5/24 12:00,22.11,64.27
11/5/24 16:00,22.18,69.26
11/5/24 20:00,19.36,83.03
11/6/24 0:00,19.15,88.29
11/6/24 4:00,18.81,88.33
11/6/24 8:00,18.84,88.49
11/6/24 12:00,21.78,64.71
11/6/24 16:00,21.04,65.48
11/6/24 20:00,18.27,87.43
11/7/24 0:00,17.25,89.04
11/7/24 4:00,17.14,88.05
11/7/24 8:00,17.7,81.9
11/7/24 12:00,23.05,55.59
11/7/24 16:00,18.54,82.97
11/7/24 20:00,17.3,85.72
11/8/24 0:00,16.39,86.83
11/8/24 4:00,16.5,81.34
11/8/24 8:00,17.48,70.39
11/8/24 12:00,22.83,44.51
11/8/24 16:00,22.96,44.74
11/8/24 20:00,17.97,85.27
11/9/24 0:00,17.85,88.96
11/9/24 4:00,16.02,89.91
11/9/24 8:00,16.6,88.53
11/9/24 12:00,21.9,55.3
11/9/24 16:00,19.92,70.08
11/9/24 20:00,17.97,85.72
11/10/24 0:00,17.09,87.53
11/10/24 4:00,17.95,86.01
11/10/24 8:00,17.19,87.45
11/10/24 12:00,20.15,64.88
11/10/24 16:00,17.86,79.66
11/10/24 20:00,17.31,89.46
11/11/24 0:00,16.07,86.54
11/11/24 4:00,15.79,87.15
11/11/24 8:00,15.68,86.87
11/11/24 12:00,20.06,65.57
11/11/24 16:00,18.63,73.43
11/11/24 20:00,17.01,84.31
11/12/24 0:00,16.48,85.87
11/12/24 4:00,15.81,87.07
11/12/24 8:00,16.07,86.71
11/12/24 12:00,20.31,59.28
11/12/24 16:00,17.54,78.55
11/12/24 20:00,16.89,83.67
11/13/24 0:00,16.19,85.94
11/13/24 4:00,15.45,87.23
11/13/24 8:00,15.18,85.14
11/13/24 12:00,19.6,57.89
11/13/24 16:00,21.05,53.07
11/13/24 20:00,18.88,76.17
11/14/24 0:00,15.63,84.6
11/14/24 4:00,15,84.74
11/14/24 8:00,14.87,78.37
11/14/24 12:00,20.95,53.12
11/14/24 16:00,21.73,52.63
11/14/24 20:00,18.43,80.28
11/15/24 0:00,16.24,90.61
11/15/24 4:00,16,86.08
11/15/24 8:00,16.84,83.62
11/15/24 12:00,19.45,65.32
11/15/24 16:00,18.85,66.67
11/15/24 20:00,16.7,78.71
11/16/24 0:00,14.84,77.55
11/16/24 4:00,13.47,83.91
11/16/24 8:00,14.56,79.33
11/16/24 12:00,18.84,55.18
11/16/24 16:00,19.15,58.73
11/16/24 20:00,16.44,74.49
11/17/24 0:00,14.86,81.1
11/17/24 4:00,13.02,85.79
11/17/24 8:00,13.29,86.76
11/17/24 12:00,20.14,59.49
11/17/24 16:00,21.54,58.38
11/17/24 20:00,17.96,70.88
11/18/24 0:00,14.96,77.94
11/18/24 4:00,15.05,78.18
11/18/24 8:00,15.6,77.06
11/18/24 12:00,21.07,61.38
11/18/24 16:00,21.47,62.52
11/18/24 20:00,17.79,79.73
11/19/24 0:00,16.54,86.09
11/19/24 4:00,15.66,84.64
11/19/24 8:00,15,86.45
11/19/24 12:00,20.28,65.03
11/19/24 16:00,21.71,61.3
11/19/24 20:00,18.89,77.47
11/20/24 0:00,16.65,80.09
11/20/24 4:00,16.36,78.32
11/20/24 8:00,17.33,72.9
11/20/24 12:00,21.54,51.33
11/20/24 16:00,21.61,49.12
11/20/24 20:00,18.32,68.21
11/21/24 0:00,17.75,72.33
11/21/24 4:00,18.1,73.48
11/21/24 8:00,17.1,73.38
11/21/24 12:00,20.33,58.86
11/21/24 16:00,20.3,54.87
11/21/24 20:00,17.05,78.16
11/22/24 0:00,16.3,69.86
11/22/24 4:00,15.42,63.61
11/22/24 8:00,15.5,59.14
11/22/24 12:00,21.07,43.51
11/22/24 16:00,19.25,64.44
11/22/24 20:00,18.18,70.24
11/23/24 0:00,15.78,62.85
11/23/24 4:00,15.15,57.57
11/23/24 8:00,15.26,64.23
11/23/24 12:00,17.68,43.75
11/23/24 16:00,17.72,51.4
11/23/24 20:00,15.28,66.97
11/24/24 0:00,12.72,77.89
11/24/24 4:00,11.24,79.59
11/24/24 8:00,12.07,83.11
11/24/24 12:00,19.24,53.05
11/24/24 16:00,18.98,51.26
11/24/24 20:00,16.48,73.34
11/25/24 0:00,15.16,82.22
11/25/24 4:00,14.68,85.24
11/25/24 8:00,15.38,84.5
11/25/24 12:00,20.53,56.06
11/25/24 16:00,20.73,52.37
11/25/24 20:00,17.66,57.88
11/26/24 0:00,16.42,65.46
11/26/24 4:00,15.04,71.65
11/26/24 8:00,13.76,76.57
11/26/24 12:00,19.56,53.92
11/26/24 16:00,20.31,59.41
11/26/24 20:00,16.01,81.4
11/27/24 0:00,14.04,80.12
11/27/24 4:00,13.23,78.37
11/27/24 8:00,13.05,75.29
11/27/24 12:00,19.85,50.53
11/27/24 16:00,20.75,57.39
11/27/24 20:00,16.9,77.14
11/28/24 0:00,14.14,78.32
11/28/24 4:00,13.62,83
11/28/24 8:00,15,86.69
11/28/24 12:00,17.91,79.99
11/28/24 16:00,20.88,64.08
11/28/24 20:00,17.19,86.85
11/29/24 0:00,16.58,85.58
11/29/24 4:00,14.71,89.59
11/29/24 8:00,14.82,88.64
11/29/24 12:00,19.24,63.41
11/29/24 16:00,19.37,55.87
11/29/24 20:00,16.76,72.48
11/30/24 0:00,16.54,79.59
11/30/24 4:00,17.38,82.77
11/30/24 8:00,15.94,82.85
11/30/24 12:00,19.12,50.3
