_time,value,resourceName
11/27/24 20:00,77.14,Humidity
11/28/24 0:00,78.32,Humidity
11/28/24 4:00,83,Humidity
11/28/24 8:00,86.69,Humidity
11/28/24 12:00,79.99,Humidity
11/28/24 16:00,64.08,Humidity
11/28/24 20:00,86.85,Humidity
11/29/24 0:00,85.58,Humidity
11/29/24 4:00,89.59,Humidity
11/29/24 8:00,88.64,Humidity
11/29/24 12:00,63.41,Humidity
11/29/24 16:00,55.87,Humidity
11/29/24 20:00,72.48,Humidity
11/30/24 0:00,79.59,Humidity
11/30/24 4:00,82.77,Humidity
11/30/24 8:00,82.85,Humidity
11/30/24 12:00,50.3,Humidity
11/30/24 16:00,52.45,Humidity
11/30/24 20:00,69.4,Humidity
12/1/24 0:00,69.44,Humidity
12/1/24 4:00,73.43,Humidity
12/1/24 8:00,76.08,Humidity
12/1/24 12:00,44.96,Humidity
12/1/24 16:00,49.58,Humidity
12/1/24 20:00,65.45,Humidity
12/2/24 0:00,71.62,Humidity
12/2/24 4:00,77.19,Humidity
12/2/24 8:00,84.05,Humidity
12/2/24 12:00,53.31,Humidity
12/2/24 16:00,54.33,Humidity
12/2/24 20:00,68.01,Humidity
12/3/24 0:00,80.05,Humidity
12/3/24 4:00,85.33,Humidity
12/3/24 8:00,83.02,Humidity
12/3/24 12:00,69.39,Humidity
12/3/24 16:00,60.54,Humidity
12/3/24 20:00,76.83,Humidity
12/4/24 0:00,82.76,Humidity
12/4/24 4:00,86.46,Humidity
12/4/24 8:00,83.98,Humidity
12/4/24 12:00,63.15,Humidity
12/4/24 16:00,70.91,Humidity
12/4/24 20:00,85.29,Humidity
12/5/24 0:00,80.32,Humidity
12/5/24 4:00,78.23,Humidity
12/5/24 8:00,67.89,Humidity
12/5/24 12:00,57.5,Humidity
12/5/24 16:00,53.44,Humidity
12/5/24 20:00,56.19,Humidity
12/6/24 0:00,59.32,Humidity
12/6/24 4:00,57.53,Humidity
12/6/24 8:00,59.75,Humidity
12/6/24 12:00,53.08,Humidity
12/6/24 16:00,68.66,Humidity
12/6/24 20:00,59.42,Humidity
12/7/24 0:00,70.53,Humidity
12/7/24 4:00,68.28,Humidity
12/7/24 8:00,75.78,Humidity
12/7/24 12:00,50.76,Humidity
